id,airline_id,source_id,destination_id,codeshare,stops,iata
8,410,4029,2952,f,0,CR2
9,410,4029,6969,f,0,CR2
10,410,4029,6165,f,0,CR2
11,410,4029,6160,f,0,CR2
12,410,4274,2948,f,0,CR2
13,410,4274,2962,f,0,CR2
14,410,2922,6969,f,0,CR2
15,410,2952,4029,f,0,CR2
16,410,2990,2968,f,0,CR2
17,410,2990,2948,f,0,CR2
18,410,2990,346,f,0,CR2
19,410,2990,6160,f,0,CR2
20,410,2948,2966,f,0,CR2
21,410,2948,4274,f,0,CR2
22,410,2948,2990,f,0,CR2
23,410,2948,6969,f,0,CR2
24,410,2948,6165,f,0,CR2
25,410,2948,6160,f,0,CR2
26,410,2962,4274,f,0,CR2
27,410,346,2990,f,0,CR2
28,410,6969,4029,f,0,CR2
29,410,6969,2922,f,0,CR2
30,410,6969,2948,f,0,CR2
31,410,6969,2972,f,0,CR2
32,410,2972,6969,f,0,CR2
33,410,2972,6160,f,0,CR2
34,410,4078,2968,f,0,CR2
35,410,6165,4029,f,0,CR2
36,410,6165,2948,f,0,CR2
37,410,6160,4029,f,0,CR2
38,410,6160,2990,f,0,CR2
39,410,6160,2948,f,0,CR2
40,410,6160,2972,f,0,CR2
41,8359,2787,2789,f,0,141
42,8359,2786,2789,f,0,142
43,8359,2812,2789,f,0,141 142
44,8359,2812,2808,f,0,142
45,8359,6067,2789,f,0,141
46,8359,2801,2781,f,0,142 143
47,8359,2801,2806,f,0,142
48,8359,2789,2787,f,0,141
49,8359,2789,2786,f,0,142
50,8359,2789,2812,f,0,141 142
51,8359,2789,6067,f,0,141
52,8359,2789,2781,f,0,142 143
53,8359,2789,2806,f,0,142
54,8359,2789,2810,f,0,142
55,8359,2781,2801,f,0,142 143
56,8359,2781,2789,f,0,142 143
57,8359,2781,2806,f,0,143
58,8359,2808,2812,f,0,142
59,8359,2806,2801,f,0,142
60,8359,2806,2789,f,0,142 143
61,8359,2806,2781,f,0,142
62,8359,2810,2789,f,0,142
63,470,253,247,f,0,CRJ M87
64,470,253,246,f,0,CRJ M87
65,470,248,246,f,0,CRJ
66,470,1044,1084,f,0,M87
67,470,1044,246,f,0,M87 CRJ
68,470,247,253,f,0,CRJ M87
69,470,247,246,f,0,CRJ M87
70,470,245,970,f,0,M87
71,470,245,246,f,0,M87
72,470,1084,1044,f,0,M87
73,470,1084,246,f,0,M87
74,470,970,245,f,0,M87
75,470,298,246,f,0,CRJ
76,470,280,246,f,0,CRJ
77,470,246,253,f,0,CRJ M87
78,470,246,248,f,0,CRJ
79,470,246,1044,f,0,M87 CRJ
80,470,246,247,f,0,CRJ M87
81,470,246,245,f,0,M87
82,470,246,1084,f,0,M87
83,470,246,298,f,0,CRJ
84,470,246,280,f,0,CRJ
85,1338,2709,2673,f,0,319
86,1338,2709,2688,f,0,320 319
87,1338,2671,2688,f,0,319
88,1338,2672,2673,f,0,320 319
89,1338,2672,2688,f,0,319
90,1338,2673,2709,f,0,319
91,1338,2673,2672,f,0,320 319
92,1338,2673,6045,f,0,319 320
93,1338,2673,2688,f,0,319 320
94,1338,2683,2688,f,0,319 320
95,1338,2670,2688,f,0,319
96,1338,6045,2673,f,0,319 320
97,1338,2688,2709,f,0,320 319
98,1338,2688,2671,f,0,319
102,2750,1506,1676,f,0,100
103,2750,1506,1678,f,0,100
104,2750,1501,1678,f,0,100
105,2750,1676,1506,f,0,100
106,2750,1676,1509,f,0,100
107,2750,1676,7447,f,0,100
108,2750,1676,3998,f,0,100
109,2750,490,1678,f,0,100
110,2750,1509,1676,f,0,100
111,2750,7447,1676,f,0,100
112,2750,3998,1676,f,0,100
113,2750,772,1678,f,0,100
114,2750,1678,1506,f,0,100
115,2750,1678,1501,f,0,100
116,2750,1678,490,f,0,100
117,2750,1678,772,f,0,100
122,5501,730,719,f,0,ATP
123,5501,737,715,f,0,AT7
124,5501,737,709,f,0,ATP
125,5501,737,718,f,0,AT7
126,5501,737,5595,f,0,SF3
127,5501,737,719,f,0,ATP
128,5501,737,442,f,0,SF3
129,5501,737,746,f,0,SF3
130,5501,737,729,f,0,SF3
131,5501,737,711,f,0,SF3
132,5501,609,742,f,0,SF3
133,5501,609,743,f,0,SF3
134,5501,609,731,f,0,SF3
135,5501,715,737,f,0,AT7
136,5501,715,718,f,0,AT7
137,5501,709,737,f,0,ATP
138,5501,5599,729,f,0,SF3
139,5501,718,737,f,0,AT7
140,5501,718,715,f,0,AT7
141,5501,5595,737,f,0,SF3
142,5501,5595,743,f,0,SF3
143,5501,742,609,f,0,SF3
144,5501,742,731,f,0,SF3
145,5501,719,730,f,0,ATP
146,5501,719,737,f,0,ATP
147,5501,442,737,f,0,SF3
148,5501,442,460,f,0,SF3
149,5501,743,609,f,0,SF3
150,5501,743,5595,f,0,SF3
151,5501,731,609,f,0,SF3
152,5501,731,742,f,0,SF3
153,5501,460,442,f,0,SF3
154,5501,746,737,f,0,SF3
155,5501,729,737,f,0,SF3
156,5501,729,5599,f,0,SF3
157,5501,711,737,f,0,SF3
158,146,3531,7167,f,0,BNI
159,146,3531,7162,f,0,BNI
160,146,3531,7170,f,0,BNI
161,146,3531,7164,f,0,BNI
162,146,3531,7171,f,0,BNI
163,146,3531,7163,f,0,BNI
164,146,7167,7176,f,0,BNI
165,146,7162,7161,f,0,BNI
166,146,7169,7166,f,0,BNI
167,146,7170,7169,f,0,BNI
168,146,7164,7165,f,0,BNI
169,146,7171,,f,0,BNI
170,146,,7175,f,0,BNI
171,897,2423,4206,f,0,DH4
172,897,2423,2397,f,0,320
173,897,4200,4206,f,0,DH4
174,897,2399,4206,f,0,DH4
175,897,2399,2397,f,0,320
176,897,4206,2423,f,0,DH4
177,897,4206,4200,f,0,DH4
178,897,4206,2399,f,0,DH4
179,897,4206,2400,f,0,DH4
180,897,4206,4140,f,0,320
181,897,4206,4090,f,0,320 DH4
182,897,4206,6011,f,0,320
183,897,4206,3077,f,0,320
184,897,4206,2429,f,0,DH4
185,897,4206,2430,f,0,DH4
186,897,4206,2397,f,0,320
187,897,4206,4002,f,0,DH3
188,897,4206,4204,f,0,DH4
189,897,4206,2401,f,0,DH4
190,897,4206,2433,f,0,320
191,897,4206,6016,f,0,DH4
192,897,4206,2422,f,0,DH4
193,897,4206,2404,f,0,DH4
194,897,2400,4206,f,0,DH4
195,897,2400,4090,f,0,DH4
196,897,2400,2397,f,0,320
197,897,4140,4206,f,0,320
198,897,4140,4090,f,0,320
199,897,4140,3077,f,0,320
200,897,4140,2430,f,0,320
201,897,4140,2433,f,0,320
202,897,6024,2397,f,0,DH4
203,897,6023,2397,f,0,DH4
204,897,4090,4206,f,0,320 DH4
205,897,4090,2400,f,0,DH4
206,897,4090,4140,f,0,320
207,897,4090,2429,f,0,320
208,897,4090,2397,f,0,320
209,897,4090,2404,f,0,DH4
210,897,6011,4206,f,0,320
211,897,6011,2429,f,0,320
212,897,6011,2397,f,0,320
213,897,3077,4206,f,0,320
214,897,3077,4140,f,0,320
215,897,2429,4206,f,0,DH4
216,897,2429,4090,f,0,320
217,897,2429,6011,f,0,320
218,897,2429,2397,f,0,320
219,897,6013,2404,f,0,DH4
220,897,2430,4206,f,0,DH4
