id,name,alias,IATA,ICAO,callsign,country,active
518,Aviair Aviation Ltd.,,  ,AVF,CARIBOO,Canada,f
519,Air Falcon,,  ,AVG,DJIBOUTI FALCON,Djibouti,f
520,AV8 Helicopters,,  ,AVH,KENT HELI,United Kingdom,f
609,Aero Jomacha,,  ,MHC,AERO JOMACHA,Mexico,f
610,Air Memphis,,  ,MHS,AIR MEMPHIS,Egypt,f
611,Air Memphis,,  ,MHU,MEPHIS UGANDA,Uganda,f
612,Air Marrakech Service,,  ,MKH,AIR MARRAKECH,Morocco,f
613,Air Max Africa,,  ,AZX,AZIMA,Gabon,f
614,Arizona Airways,,  ,AZY, Inc.,ARIZAIR,f
615,Azza Transport,,  ,AZZ,AZZA TRANSPORT,Sudan,f
616,Air Continental Inc,,  ,NAR,NIGHT AIR,United States,f
628,Aero Nova,,  ,OVA,AERONOVA,Spain,f
712,Aviacion Comercial de America,,  ,VME,AVIAMERICA,Mexico,f
713,Aviast Air,,  ,VVA,IALSI,Russia,f
714,Aviation North,,  ,WLV,WOLVERINE,United States,f
716,Avient Air Zambia,,  ,VNT,AVIENT,Zambia,f
717,Aviazur,,  ,VZR,IAZUR,France,f
718,Aviaprad,,  ,VID,AVIAPRAD,Russia,f
719,Avirex,,G2,VXG,AVIREX-GABON,Gabon,f
720,Aviaexpress Aircompany,,  ,VXX,EXPRESSAVIA,Ukraine,f
721,AMR Services Corporation,,  ,XAM,ALLIANCE,United States,f
814,Aeroynamics Malaga,,  ,DNC,FLYINGOLIVE,Spain,f
815,Aerodynamics Incorporated,,  ,DNJ,DYNAJET,United States,f
818,Airways Flight Training,,  ,DRM,DARTMOOR,United Kingdom,f
819,Aeronaves Del Noreste,,  ,DRO,AERONORESTE,Mexico,f
820,Addis Air Cargo Services,,  ,DSC,ADDIS CARGO,Ethiopia,f
821,Aero Algarve,,  ,DSK,SKYBANNER,Portugal,f
822,Aex Air,,  ,DST,DESERT,United States,f
823,Aero Davinci International,,  ,DVI,AERO DAVINCI,Mexico,f
824,Aero Dynamics,,  ,DYN,AERO DYNAMIC,United States,f
915,Aeroservicios Gama,,  ,GMS,SERVICIOS GAMA,Mexico,f
916,Amber Air,,0A,GNT,GINTA,Lithuania,f
917,Alberta Government,,  ,GOA,ALBERTA,Canada,f
918,Air Scotland,,  ,GRE,GREECE AIRWAYS,Greece,f
919,Air Georgia,,DA,GRG,AIR GEORGIA,Georgia,f
920,Air Cargo Center,,  ,GRI,"",Sao Tome and Principe,f
922,Allegro,,LL,GRO,ALLEGRO,Mexico,f
923,Agroar - Trabalhos Aereos,,  ,GRR,AGROAR,Portugal,f
1020,Al Ahram Aviation,,  ,LHR,AL AHRAM,Egypt,f
1021,Alidaunia,,D4,LID,ALIDA,Italy,f
1022,Al-Dawood Air,,  ,LIE,AL-DAWOOD AIR,Nigeria,f
1023,American Aviation,,  ,LKP,LAKE POWELL,United States,f
1024,Airlink Solutions,,  ,LKS,AIRLIN,Spain,f
1025,Air Solutions,,  ,LKY,LUCKY,United States,f
1026,Alliance Air,,CD,LLR,ALLIED,India,f
1027,Aerolima,,  ,LMA,AEROLIMA,Mexico,f
1125,Airwing,,  ,NWG,NORWING,Norway,f
1126,Air Next,,  ,NXA,BLUE-DOLPHIN,Japan,f
1127,Arkhangelsk 2 Aviation Division,,  ,OAO,DVINA,Russia,f
1128,Aerogisa,,  ,OGI,AEROGISA,Mexico,f
1129,Aerolineas Olve,,  ,OLV,OLVE,Mexico,f
1130,Aeromega,,  ,OMG,OMEGA,United Kingdom,f
1131,Air One Nine,,  ,ONR,EDER,Libya,f
1132,Air Ontario,,  ,ONT,ONTARIO,Canada,f
1227,Aerotransportes Internacionales De Torreon,,  ,RRE,AERO TORREON,Mexico,f
1228,Acvila Air-Romanian Carrier,,  ,RRM,AIR ROMANIA,Romania,f
1229,Aerolineas Ejecutivas Tarascas,,  ,RSC,TARASCAS,Mexico,f
1233,Artis,,  ,RTH,ARTHELICO,France,f
1234,Arhabaev Tourism Airlines,,  ,RTO,ARTOAIR,Kazakhstan,f
1235,Air Turquoise,,  ,RTQ,TURQUOISE,France,f
1236,Aerotucan,,  ,RTU,AEROTUCAN,Mexico,f
1237,Air Anastasia,,  ,RUD,ANASTASIA,Ukraine,f
1238,Air Rum,,  ,RUM,AIR RUM,Sierra Leone,f
1239,ACT Havayollari,,  ,RUN,CARGO TURK,Turkey,f
1327,Aero Tomza,,  ,TZA,AERO TOMZA,Mexico,f
1328,Air Zambezi,,  ,TZT,ZAMBEZI,Zimbabwe,f
1329,Afra Airlines,,  ,UAG,AFRALINE,Ghana,f
1330,Aerostar Airlines,,  ,UAR,AEROSTAR,Ukraine,f
